"Label","Modality","side","Atlas","Measurement","Anatomy"
"T1Hier_area_frontal_rdktlobes","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/area","frontal_rdktlobes"
"T1Hier_area_occipital_ldktlobes","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/area","occipital_ldktlobes"
"T1Hier_area_occipital_rdktlobes","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/area","occipital_rdktlobes"
"T1Hier_area_parietal_ldktlobes","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/area","parietal_ldktlobes"
"T1Hier_area_parietal_rdktlobes","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/area","parietal_rdktlobes"
"T1Hier_area_temporal_ldktlobes","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/area","temporal_ldktlobes"
"T1Hier_area_temporal_rdktlobes","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/area","temporal_rdktlobes"
"T1Hier_thk_brainstem_ldktlobes","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/thickness","brainstem_ldktlobes"
"T1Hier_thk_brainstem_rdktlobes","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/thickness","brainstem_rdktlobes"
"T1Hier_thk_cerebellum_ldktlobes","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/thickness","cerebellum_ldktlobes"
"T1Hier_thk_cerebellum_rdktlobes","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/thickness","cerebellum_rdktlobes"
"T1Hier_thk_frontal_ldktlobes","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/thickness","frontal_ldktlobes"
"T1Hier_thk_frontal_rdktlobes","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/thickness","frontal_rdktlobes"
"T1Hier_thk_occipital_ldktlobes","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/thickness","occipital_ldktlobes"
"T1Hier_thk_occipital_rdktlobes","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/thickness","occipital_rdktlobes"
"T1Hier_thk_parietal_ldktlobes","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/thickness","parietal_ldktlobes"
"T1Hier_thk_parietal_rdktlobes","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/thickness","parietal_rdktlobes"
"T1Hier_thk_temporal_ldktlobes","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/thickness","temporal_ldktlobes"
"T1Hier_thk_temporal_rdktlobes","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/thickness","temporal_rdktlobes"
"T1Hier_vol_4th_ventricledktregions","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/volume","4th ventricle"
"T1Hier_vol_csfdktregions","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/volume","vol_csf"
"T1Hier_vol_brain_stemdktregions","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/volume","brain stem"
"T1Hier_vol_cerebellar_vermal_lobules_i.vdktregions","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/volume","vol_cerebellar_vermal_lobules_i.v"
"T1Hier_vol_cerebellar_vermal_lobules_vi.viidktregions","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/volume","vol_cerebellar_vermal_lobules_vi.vii"
"T1Hier_vol_cerebellar_vermal_lobules_viii.xdktregions","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/volume","vol_cerebellar_vermal_lobules_viii.x"
"T1Hier_vol_left_amygdaladktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","amygdala"
"T1Hier_vol_left_caudal_anterior_cingulatedktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","caudal anterior cingulate"
"T1Hier_vol_left_caudal_middle_frontaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","caudal middle frontal"
"T1Hier_vol_left_caudatedktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","caudate"
"T1Hier_vol_left_cerebellem_exteriordktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","cerebellem exterior"
"T1Hier_vol_left_cerebellum_white_matterdktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","cerebellum white matter"
"T1Hier_vol_left_cuneusdktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","cuneus"
"T1Hier_vol_left_entorhinaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","entorhinal"
"T1Hier_vol_left_fusiformdktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","fusiform"
"T1Hier_vol_left_hippocampusdktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","hippocampus"
"T1Hier_vol_left_inferior_parietaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","inferior parietal"
"T1Hier_vol_left_inferior_temporaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","inferior temporal"
"T1Hier_vol_left_insuladktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","insula"
"T1Hier_vol_left_isthmus_cingulatedktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","isthmus cingulate"
"T1Hier_vol_left_lateral_occipitaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","lateral occipital"
"T1Hier_vol_left_lateral_orbitofrontaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","lateral orbitofrontal"
"T1Hier_vol_left_lateral_ventricledktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","lateral ventricle"
"T1Hier_vol_left_lingualdktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","lingual"
"T1Hier_vol_left_medial_orbitofrontaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","medial orbitofrontal"
"T1Hier_vol_left_middle_temporaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","middle temporal"
"T1Hier_vol_left_pallidiumdktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","pallidium"
"T1Hier_vol_left_paracentraldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","paracentral"
"T1Hier_vol_left_parahippocampaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","parahippocampal"
"T1Hier_vol_left_pars_opercularisdktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","pars opercularis"
"T1Hier_vol_left_pars_orbitalisdktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","pars orbitalis"
"T1Hier_vol_left_pars_triangularisdktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","pars triangularis"
"T1Hier_vol_left_pericalcarinedktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","pericalcarine"
"T1Hier_vol_left_postcentraldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","postcentral"
"T1Hier_vol_left_posterior_cingulatedktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","posterior cingulate"
"T1Hier_vol_left_precentraldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","precentral"
"T1Hier_vol_left_precuneusdktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","precuneus"
"T1Hier_vol_left_putamendktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","putamen"
"T1Hier_vol_left_rostral_anterior_cingulatedktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","rostral anterior cingulate"
"T1Hier_vol_left_rostral_middle_frontaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","rostral middle frontal"
"T1Hier_vol_left_superior_frontaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","superior frontal"
"T1Hier_vol_left_superior_parietaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","superior parietal"
"T1Hier_vol_left_superior_temporaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","superior temporal"
"T1Hier_vol_left_supramarginaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","supramarginal"
"T1Hier_vol_left_thalamus_properdktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","thalamus proper"
"T1Hier_vol_left_transverse_temporaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","transverse temporal"
"T1Hier_vol_left_ventral_dcdktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/volume","volventral_dc"
"T1Hier_vol_right_amygdaladktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","amygdala"
"T1Hier_vol_right_caudal_anterior_cingulatedktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","caudal anterior cingulate"
"T1Hier_vol_right_caudal_middle_frontaldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","caudal middle frontal"
"T1Hier_vol_right_caudatedktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","caudate"
"T1Hier_vol_right_cerebellum_exteriordktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","cerebellum exterior"
"T1Hier_vol_right_cerebellum_white_matterdktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","cerebellum white matter"
"T1Hier_vol_right_cuneusdktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","cuneus"
"T1Hier_vol_right_entorhinaldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","entorhinal"
"T1Hier_vol_right_fusiformdktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","fusiform"
"T1Hier_vol_right_hippocampusdktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","hippocampus"
"T1Hier_vol_right_inferior_parietaldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","inferior parietal"
"T1Hier_vol_right_inferior_temporaldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","inferior temporal"
"T1Hier_vol_right_insuladktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","insula"
"T1Hier_vol_right_isthmus_cingulatedktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","isthmus cingulate"
"T1Hier_vol_right_lateral_occipitaldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","lateral occipital"
"T1Hier_vol_right_lateral_orbitofrontaldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","lateral orbitofrontal"
"T1Hier_vol_right_lateral_ventricledktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","lateral ventricle"
"T1Hier_vol_right_lingualdktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","lingual"
"T1Hier_vol_right_medial_orbitofrontaldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","medial orbitofrontal"
"T1Hier_vol_right_middle_temporaldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","middle temporal"
"T1Hier_vol_right_palladiumdktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","palladium"
"T1Hier_vol_right_paracentraldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","paracentral"
"T1Hier_vol_right_parahippocampaldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","parahippocampal"
"T1Hier_vol_right_pars_opercularisdktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","pars opercularis"
"T1Hier_vol_right_pars_orbitalisdktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","pars orbitalis"
"T1Hier_vol_right_pars_triangularisdktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","pars triangularis"
"T1Hier_vol_right_pericalcarinedktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","pericalcarine"
"T1Hier_vol_right_postcentraldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","postcentral"
"T1Hier_vol_right_posterior_cingulatedktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","posterior cingulate"
"T1Hier_vol_right_precentraldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","precentral"
"T1Hier_vol_right_precuneusdktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","precuneus"
"T1Hier_vol_right_putamendktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","putamen"
"T1Hier_vol_right_rostral_anterior_cingulatedktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","rostral anterior cingulate"
"T1Hier_vol_right_rostral_middle_frontaldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","rostral middle frontal"
"T1Hier_vol_right_superior_frontaldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","superior frontal"
"T1Hier_vol_right_superior_parietaldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","superior parietal"
"T1Hier_vol_right_superior_temporaldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","superior temporal"
"T1Hier_vol_right_supramarginaldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","supramarginal"
"T1Hier_vol_right_thalamus_properdktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","thalamus proper"
"T1Hier_vol_right_transverse_temporaldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","transverse temporal"
"T1Hier_vol_right_ventral_dcdktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/volume","volventral_dc"
"T1Hier_area_4th_ventricledktregions","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/area","4th ventricle"
"T1Hier_area_csfdktregions","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/area","csf"
"T1Hier_area_brain_stemdktregions","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/area","brain stem"
"T1Hier_area_cerebellar_vermal_lobules_i.vdktregions","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/area","cerebellar_vermal_lobules_i.v"
"T1Hier_area_cerebellar_vermal_lobules_vi.viidktregions","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/area","cerebellar_vermal_lobules_vi.vii"
"T1Hier_area_cerebellar_vermal_lobules_viii.xdktregions","T1 hierarchical processing",NA,"desikan-killiany-tourville","geometry/area","cerebellar_vermal_lobules_viii.x"
"T1Hier_area_left_amygdaladktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","amygdala"
"T1Hier_area_left_caudal_anterior_cingulatedktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","caudal anterior cingulate"
"T1Hier_area_left_caudal_middle_frontaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","caudal middle frontal"
"T1Hier_area_left_caudatedktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","caudate"
"T1Hier_area_left_cerebellem_exteriordktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","cerebellem exterior"
"T1Hier_area_left_cerebellum_white_matterdktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","cerebellum white matter"
"T1Hier_area_left_cuneusdktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","cuneus"
"T1Hier_area_left_entorhinaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","entorhinal"
"T1Hier_area_left_fusiformdktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","fusiform"
"T1Hier_area_left_hippocampusdktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","hippocampus"
"T1Hier_area_left_inferior_parietaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","inferior parietal"
"T1Hier_area_left_inferior_temporaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","inferior temporal"
"T1Hier_area_left_insuladktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","insula"
"T1Hier_area_left_isthmus_cingulatedktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","isthmus cingulate"
"T1Hier_area_left_lateral_occipitaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","lateral occipital"
"T1Hier_area_left_lateral_orbitofrontaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","lateral orbitofrontal"
"T1Hier_area_left_lateral_ventricledktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","lateral ventricle"
"T1Hier_area_left_lingualdktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","lingual"
"T1Hier_area_left_medial_orbitofrontaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","medial orbitofrontal"
"T1Hier_area_left_middle_temporaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","middle temporal"
"T1Hier_area_left_pallidiumdktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","pallidium"
"T1Hier_area_left_paracentraldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","paracentral"
"T1Hier_area_left_parahippocampaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","parahippocampal"
"T1Hier_area_left_pars_opercularisdktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","pars opercularis"
"T1Hier_area_left_pars_orbitalisdktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","pars orbitalis"
"T1Hier_area_left_pars_triangularisdktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","pars triangularis"
"T1Hier_area_left_pericalcarinedktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","pericalcarine"
"T1Hier_area_left_postcentraldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","postcentral"
"T1Hier_area_left_posterior_cingulatedktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","posterior cingulate"
"T1Hier_area_left_precentraldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","precentral"
"T1Hier_area_left_precuneusdktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","precuneus"
"T1Hier_area_left_putamendktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","putamen"
"T1Hier_area_left_rostral_anterior_cingulatedktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","rostral anterior cingulate"
"T1Hier_area_left_rostral_middle_frontaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","rostral middle frontal"
"T1Hier_area_left_superior_frontaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","superior frontal"
"T1Hier_area_left_superior_parietaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","superior parietal"
"T1Hier_area_left_superior_temporaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","superior temporal"
"T1Hier_area_left_supramarginaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","supramarginal"
"T1Hier_area_left_thalamus_properdktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","thalamus proper"
"T1Hier_area_left_transverse_temporaldktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","transverse temporal"
"T1Hier_area_left_ventral_dcdktregions","T1 hierarchical processing","left","desikan-killiany-tourville","geometry/area","_ventral_dc"
"T1Hier_area_right_amygdaladktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/area","amygdala"
"T1Hier_area_right_caudal_anterior_cingulatedktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/area","caudal anterior cingulate"
"T1Hier_area_right_caudal_middle_frontaldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/area","caudal middle frontal"
"T1Hier_area_right_caudatedktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/area","caudate"
"T1Hier_area_right_cerebellum_exteriordktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/area","cerebellum exterior"
"T1Hier_area_right_cerebellum_white_matterdktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/area","cerebellum white matter"
"T1Hier_area_right_cuneusdktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/area","cuneus"
"T1Hier_area_right_entorhinaldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/area","entorhinal"
"T1Hier_area_right_fusiformdktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/area","fusiform"
"T1Hier_area_right_hippocampusdktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/area","hippocampus"
"T1Hier_area_right_inferior_parietaldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/area","inferior parietal"
"T1Hier_area_right_inferior_temporaldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/area","inferior temporal"
"T1Hier_area_right_insuladktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/area","insula"
"T1Hier_area_right_isthmus_cingulatedktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/area","isthmus cingulate"
"T1Hier_area_right_lateral_occipitaldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/area","lateral occipital"
"T1Hier_area_right_lateral_orbitofrontaldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/area","lateral orbitofrontal"
"T1Hier_area_right_lateral_ventricledktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/area","lateral ventricle"
"T1Hier_area_right_lingualdktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/area","lingual"
"T1Hier_area_right_medial_orbitofrontaldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/area","medial orbitofrontal"
"T1Hier_area_right_middle_temporaldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/area","middle temporal"
"T1Hier_area_right_palladiumdktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/area","palladium"
"T1Hier_area_right_paracentraldktregions","T1 hierarchical processing","right","desikan-killiany-tourville","geometry/area","paracentral"
